CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
2121213;A4638881200 LUFTLEITLAMELLE RE;Pz;18;212121318;SLAuto;15168;1664;2,62377; 4365,95 ;;;
2120984;A4638851601 LUFTFUHRUNGSELE RE;Pz;18;212098418;SLAuto;15200;3224;1,22171; 3938,79 ;;;
2120858;0C004530AA BOCCOLA b;Pz;18;212085818;PF;15232;1640;0,37507; 615,11 ;;;
2121198;A4638853600 LUFTFUHRUNGSELE LI;Pz;18;212119818;SLAuto;15371;2965;1,17001; 3469,08 ;;;
2121174;5313215661 FRONTSERBATH2O IF;Pz;3136;21211743136;SL;15635;1456;0,29484; 429,29 ;;;
2120728;7420104  ABDECKPLATTE da verni;Pz;2054;21207282054;SL;16170;113;0,15317; 17,31 ;;;
2120113;7641543-00 LICHTABDECKUNG;Pz;18;212011318;PF;16337;1632;0,6592; 1075,81 ;;;
2120394;7434185-00 BUCHSE BIANCO;Pz;18;212039418;PF;16500;2000;0,06945; 138,90 ;;;
2400851;7439583-01 ASS AUFS BIANCO V1;Pz;18;240085118;PF;16618;1400;1,21035; 1694,49 ;;;
2121065;7438585-01 AUFSTECKT BIANCO V1;Pz;18;212106518;PF;17096;168;0,72448; 121,71 ;;;
2121160;5313215651 FRONTCRS GRIGIO;Pz;3136;21211603136;SL;17549;1122;0,35648; 399,97 ;;;
2118400;7429007-00 ABDECKUNG RAL 7004;Pz;18;211840018;PF;17600;1760;0,45877; 807,44 ;;;
1313901;5313224921 COPRIPORTA SX SILVE;Pz;3136;13139013136;PF;17751;41;1,1344; 46,51 ;;;
2121159;5332279100 CRS DGT IFD;Pz;3136;21211593136;SL;17923;1840;0,56285; 1035,64 ;;;
2121211;03719021-B LENS G463 SAE;Pz;18;212121118;PFAuto;18108;296;0,75689; 224,04 ;;;
2120142;1613606650 CRUSCOTTO M297;Pz;18;212014218;SL;18395;336;0,26983; 90,66 ;;;
1117468;7436295-01 VERBINDUNGSRAHMEN;Pz;18;111746818;PF;18663;1672;1,56225; 2612,08 ;;;
2120875;7436295-01 VERBINDUNGSRAHMEN;Pz;18;212087518;SL;19044;553;0,81749; 452,07 ;;;
2120703;7437443-00 VENTILATORABDECKUNG;Pz;18;212070318;PF;19730;746;1,66567; 1242,59 ;;;
2121169;5313212671 PANNFRONT IFD 428;Pz;3136;21211693136;SL;19913;1525;0,30266; 461,56 ;;;
2120888;20708016 PARATIA DX T2 ALFA952;Pz;18;212088818;PFAuto;20050;2600;0,27908; 725,61 ;;;
2120889;20709016 PARATIA SX T2 ALFA952;Pz;18;212088918;PFAuto;20050;2600;0,27905; 725,53 ;;;
2121051;A4638859001 LUFTFUHRUNG RE AMG;Pz;18;212105118;SLAuto;20140;2508;1,19025; 2985,15 ;;;
2121052;A4638858901 LUFTFUHRUNG LI AMG;Pz;18;212105218;SLAuto;20197;1862;1,18464; 2205,80 ;;;
2120886;20698020 PARATIA DX T1 952 EXT;Pz;18;212088618;PFAuto;20352;2676;0,5728; 1532,81 ;;;
2120887;20699020 PARATIA SX T1 952 EXT;Pz;18;212088718;PFAuto;20352;2664;0,57284; 1526,05 ;;;
2121319;7430494-00 HALTELEISTE RE;Pz;18;212131918;PF;20503;1026;0,34498; 353,95 ;;;
2121318;7430492-00 HALTELEISTE LI;Pz;18;212131818;PF;20503;912;0,34498; 314,62 ;;;
2121248;5332278400 FIANCO SX NERO;Pz;18;212124818;PF;21564;2298;1,07679; 2474,46 ;;;
2118811;7403671-00 TRANSPORTSICHERUNG;Pz;18;211881118;SL;22402;38986;0,04634; 1806,61 ;;;
2121250;5332278300 FIANCO DX NERO;Pz;18;212125018;PF;22680;1290;1,15841; 1494,35 ;;;
2120702;7435435-00 VENTILATORGEHAEUSE;Pz;18;212070218;PF;22834;648;0,42849; 277,66 ;;;
2121109;1648600170 INSFRON MED M260;Pz;2269;21211092269;SL;22916;189;1,42178; 268,72 ;;;
2400893;20643203 PARATIA DX T2 ASSEMBL;Pz;18;240089318;PFAuto;23609;968;0,59575; 576,69 ;;;
2400894;20643103 PARATIA SX T2 ASSEMBL;Pz;18;240089418;PFAuto;23609;968;0,59575; 576,69 ;;;
2120119;7430081-01 HALTETEIL;Pz;18;212011918;PF;23760;720;0,74082; 533,39 ;;;
2121334;20649028 PARATIA SX T2 PORSCHE;Pz;18;212133418;SLAuto;24070;1985;0,39976; 793,52 ;;;
2121333;20648028 PARATIA DX T2 PORSCHE;Pz;18;212133318;SLAuto;24076;2084;0,39976; 833,10 ;;;
2116698;7427623-00 ABDECKUNG;Pz;18;211669818;PF;24434;1197;1,06689; 1277,07 ;;;
2120170;TORRETTA DI FISSAGGIO BASSA;Pz;1815;21201701815;SL;24470;5684;0,25946; 1474,77 ;;;
2121178;5313212691 FRONTPORTA IFD GRG;Pz;3136;21211783136;SL;25065;2160;0,37505; 810,11 ;;;
2119462;B-10191B ALBERO REGARIA PROJ;Pz;2814;21194622814;SL;25375;520;0,12; 62,40 ;;;
2120097;C-5268/E CORPO AIS FILETTATO;Pz;2814;21200972814;SL;25701;245;0,26; 63,70 ;;;
2121057;632074 LICHTLEITER RE SYNIOS;Pz;18;212105718;PFAuto;26376;2100;0,20116; 422,44 ;;;
2121055;03719032-C MASK ECE NIGHT;Pz;18;212105518;PFAuto;26496;72;0,6404; 46,11 ;;;
2121086;7439307-00 FRONTGEHAEUSE BIANC;Pz;18;212108618;SL;26515;2640;1,11403; 2941,04 ;;;
2121056;632073 LICHTLEITER LI SYNIOS;Pz;18;212105618;PFAuto;26544;2184;0,20124; 439,51 ;;;
2119852;TAPPO RETTANGPER GERA3010704;Pz;18;211985218;SL;26608;8500;0,02596; 220,66 ;;;
2120691;632317 LICHTLEITER LI FRA G32;Pz;18;212069118;PFAuto;26800;1400;0,18299; 256,19 ;;;
2120692;632318 LICHTLEITER RE FRA G32;Pz;18;212069218;PFAuto;26800;1200;0,1832; 219,84 ;;;
2121162;5313212711 FRONTNICCHIA IFD;Pz;3136;21211623136;SL;27253;841;0,07271; 61,15 ;;;
2120972;156148151 SUPPORTO TWEETER DX;Pz;18;212097218;PFAuto;29000;3500;0,10098; 353,43 ;;;
2120973;156148152 SUPPORTO TWEETER SX;Pz;18;212097318;PFAuto;29000;2500;0,10121; 253,03 ;;;
2121024;7428101-02 ASSGERAETEDW744;Pz;18;212102418;PF;29049;1280;7,17067; 9178,46 ;;;
